[2020-07-09 09:44:37,855] - INFO: ========初始化测试环境========
[2020-07-09 09:44:38,034] - INFO: 获取设备系统版本号成功...
[2020-07-09 09:44:38,088] - INFO: 获取设备名成功...
[2020-07-09 09:44:38,315] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 09:44:38,316] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 09:44:38,345] - INFO: desired_caps更新完成...
[2020-07-09 09:44:38,358] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 09:44:38,708] - INFO: 应用已安装...
[2020-07-09 09:44:39,400] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 09:44:44,500] - ERROR: 驱动app打开失败：HTTPConnectionPool(host='127.0.0.1', port=4723): Max retries exceeded with url: /wd/hub/session (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x038487B0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
[2020-07-09 09:44:46,505] - ERROR: 进入首页失败：'NoneType' object has no attribute 'swipe'，终止用例执行！！！
[2020-07-09 09:44:46,660] - INFO: ========测试完成========
[2020-07-09 09:49:30,536] - INFO: 驱动app打开成功...
[2020-07-09 09:49:53,567] - ERROR: Appium服务未开启！！！
[2020-07-09 09:50:38,482] - ERROR: Appium服务未开启！！！
[2020-07-09 09:52:29,294] - ERROR: 驱动app打开失败：HTTPConnectionPool(host='127.0.0.1', port=4723): Max retries exceeded with url: /wd/hub/session (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x02C560B0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
[2020-07-09 09:57:34,688] - INFO: ========初始化测试环境========
[2020-07-09 09:57:34,868] - INFO: 获取设备系统版本号成功...
[2020-07-09 09:57:34,927] - INFO: 获取设备名成功...
[2020-07-09 09:57:35,125] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 09:57:35,125] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 09:57:35,144] - INFO: desired_caps更新完成...
[2020-07-09 09:57:35,151] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 09:57:35,525] - INFO: 应用已安装...
[2020-07-09 09:57:36,238] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 09:57:46,273] - INFO: 驱动app打开成功...
[2020-07-09 09:58:15,837] - INFO: 登录成功，进入首页...
[2020-07-09 09:58:15,838] - INFO: 验证批量修改设备
[2020-07-09 09:58:56,451] - ERROR: 获取可视元素失败：Message: 

