[2020-07-22 10:17:01,772] - ERROR: Appium服务未开启！！！
[2020-07-22 10:18:40,145] - ERROR: Appium服务未开启！！！
[2020-07-22 10:18:53,497] - ERROR: Appium服务未开启！！！
[2020-07-22 10:21:04,383] - INFO: ========初始化测试环境========
[2020-07-22 10:21:04,645] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:21:04,703] - INFO: 获取设备名成功...
[2020-07-22 10:21:04,961] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:21:04,962] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:21:04,973] - INFO: desired_caps更新完成...
[2020-07-22 10:21:04,978] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:21:05,281] - INFO: 应用已安装...
[2020-07-22 10:21:06,118] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:21:11,133] - ERROR: Appium服务未开启！！！
[2020-07-22 10:23:11,766] - INFO: 驱动app打开成功...
[2020-07-22 10:26:43,763] - INFO: ========初始化测试环境========
[2020-07-22 10:26:44,006] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:26:44,076] - INFO: 获取设备名成功...
[2020-07-22 10:26:44,307] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:26:44,307] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:26:44,321] - INFO: desired_caps更新完成...
[2020-07-22 10:26:44,328] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:26:44,646] - INFO: 应用已安装...
[2020-07-22 10:26:45,475] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:26:54,078] - INFO: 驱动app打开成功...
[2020-07-22 10:27:24,228] - INFO: 登录成功，进入首页...
[2020-07-22 10:27:24,229] - INFO: 验证新增浴位
[2020-07-22 10:27:24,312] - INFO: 验证编辑浴位
[2020-07-22 10:27:51,551] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:27:51,899] - INFO: 验证浴位高级设置
[2020-07-22 10:28:19,078] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:28:19,092] - INFO: 验证删除浴位
[2020-07-22 10:28:45,832] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:28:46,151] - INFO: ========测试完成========
[2020-07-22 10:29:39,095] - INFO: ========初始化测试环境========
[2020-07-22 10:29:39,311] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:29:39,358] - INFO: 获取设备名成功...
[2020-07-22 10:29:39,600] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:29:39,601] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:29:39,616] - INFO: desired_caps更新完成...
[2020-07-22 10:29:39,624] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:29:39,935] - INFO: 应用已安装...
[2020-07-22 10:29:40,550] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:29:48,166] - INFO: 驱动app打开成功...
[2020-07-22 10:30:18,555] - INFO: 登录成功，进入首页...
[2020-07-22 10:30:18,560] - INFO: 验证新增浴位
[2020-07-22 10:30:26,446] - ERROR: 获取可视元素失败：Message: An unknown server-side error occurred while processing the command. Original error: java.lang.IllegalArgumentException: Namespace with prefix 'com.qekj.merchant' has not been declared.

[2020-07-22 10:30:26,553] - INFO: 验证编辑浴位
[2020-07-22 10:30:53,388] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:30:53,400] - INFO: 验证浴位高级设置
[2020-07-22 10:31:20,386] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:31:20,398] - INFO: 验证删除浴位
[2020-07-22 10:31:47,156] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:31:47,814] - INFO: ========测试完成========
[2020-07-22 10:33:56,286] - INFO: ========初始化测试环境========
[2020-07-22 10:33:56,540] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:33:56,601] - INFO: 获取设备名成功...
[2020-07-22 10:33:56,845] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:33:56,846] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:33:56,868] - INFO: desired_caps更新完成...
[2020-07-22 10:33:56,879] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:33:57,183] - INFO: 应用已安装...
[2020-07-22 10:33:57,940] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:34:07,350] - INFO: 驱动app打开成功...
[2020-07-22 10:34:38,844] - INFO: 登录成功，进入首页...
[2020-07-22 10:34:38,901] - INFO: 验证新增浴位
[2020-07-22 10:34:59,371] - INFO: 验证编辑浴位
[2020-07-22 10:35:26,855] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:35:26,866] - INFO: 验证浴位高级设置
[2020-07-22 10:35:53,688] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:35:53,700] - INFO: 验证删除浴位
[2020-07-22 10:36:20,768] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:36:21,313] - INFO: ========测试完成========
[2020-07-22 10:40:21,414] - INFO: ========初始化测试环境========
[2020-07-22 10:40:21,668] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:40:21,728] - INFO: 获取设备名成功...
[2020-07-22 10:40:21,967] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 10:40:21,967] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 10:40:21,979] - INFO: desired_caps更新完成...
[2020-07-22 10:40:21,984] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 10:40:22,292] - INFO: 应用已安装...
[2020-07-22 10:40:23,014] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 10:40:32,352] - INFO: 驱动app打开成功...
[2020-07-22 10:41:02,792] - INFO: 登录成功，进入首页...
[2020-07-22 10:41:02,792] - INFO: 验证新增浴位
[2020-07-22 10:41:22,936] - INFO: 验证编辑浴位
[2020-07-22 10:41:50,537] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:41:50,551] - INFO: 验证浴位高级设置
[2020-07-22 10:42:17,620] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:42:17,633] - INFO: 验证删除浴位
[2020-07-22 10:42:45,244] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 10:42:46,065] - INFO: ========测试完成========
[2020-07-22 10:45:02,595] - INFO: ========初始化测试环境========
[2020-07-22 10:45:02,846] - INFO: 获取设备系统版本号成功...
[2020-07-22 10:45:02,907] - INFO: 获取设备名成功...
